date_checked,keyword,platform_targeted,rank,result_url,result_title,result_type,angle,notes
2026-05-18,"Vagaro alternative massage therapist",Vagaro,1,https://busybook.co/blog/vagaro-alternative-massage-therapists/,Best Vagaro Alternative for Massage Therapists in 2026 — BusyBook,vendor-competitor,"salon-first add-on pricing vs. massage-first flat pricing","New entrant BusyBook holding #1 spot — launched BusyBook for Massage March 2026. Repeat from prior weeks but content updated with product launch announcement"
2026-05-18,"Vagaro alternative massage therapist",Vagaro,2,https://pro.massagebook.com/alternatives/vagaro,5 Vagaro Alternatives for Massage Therapy Businesses,vendor-competitor,"complex and costly for massage-specific needs","MassageBook's alternatives page; same URL as prior weeks but confirmed still ranking"
2026-05-18,"Vagaro alternative massage therapist",Vagaro,3,https://thesalonbusiness.com/best-massage-therapy-software/,9 Best Massage Therapy Software in 2026: The Ultimate Guide,independent-review,"broad comparison; Vagaro included as one of many options","Independent review site; not massage-specific — opportunity for Roomwell to own massage-LMT-specific content"
2026-05-18,"Vagaro alternative massage therapist",Vagaro,4,https://www.capterra.com/compare/147523-153752/MassageBook-vs-Vagaro,Compare MassageBook vs Vagaro 2026 | Capterra,independent-review,"feature-by-feature user review comparison","Capterra comparison page; MassageBook vs Vagaro framing"
2026-05-18,"Vagaro alternative massage therapist",Vagaro,5,https://www.softwarefinder.com/emr-software/vagaro,Vagaro: Pricing Free Demo & Features (2026) | Software Finder,independent-review,"general pricing and features overview","Software Finder directory listing; low editorial value"
2026-05-18,"how to leave Vagaro",Vagaro,1,https://support.vagaro.com/hc/en-us,Vagaro Support,vendor-own,"cancellation policy — own documentation","Vagaro's own support site ranks #1 for its exit queries; suppresses independent guidance"
2026-05-18,"how to leave Vagaro",Vagaro,2,https://thesalonbusiness.com/vagaro-review/,The Ultimate Vagaro Review 2026,independent-review,"comprehensive review mentioning cancellation","Mentions cancellation/card-reader clawback in review context"
2026-05-18,"how to leave Vagaro",Vagaro,3,https://www.trustpilot.com/review/vagaro.com,Vagaro Reviews | Trustpilot,independent-review,"user complaints including cancellation experiences","Trustpilot; high trust signal for searchers. No independent guide owns this query for Vagaro — gap for Roomwell"
2026-05-18,"Vagaro vs Noterro",Vagaro,1,https://www.noterro.com/compare/noterro-vs-vagaro,Noterro vs Vagaro: Noterro is the Best Alternative to Vagaro,vendor-competitor,"documentation-first vs. salon-first","Noterro owns its own vs. Vagaro page — NEW this week, now ranking"
2026-05-18,"Vagaro vs Noterro",Vagaro,2,https://www.capterra.com/compare/153752-164994/Vagaro-vs-SOAP-Vault,Compare Vagaro vs Noterro 2026 | Capterra,independent-review,"user review comparison","Capterra comparison page"
2026-05-18,"Vagaro vs Noterro",Vagaro,3,https://busybook.co/blog/vagaro-alternative-massage-therapists/,Why Solo Massage Therapists Are Switching From Vagaro — BusyBook,vendor-competitor,"all-in-one massage-first platform","BusyBook also ranks for this comparison query"
2026-05-18,"Mindbody alternative massage therapist",Mindbody,1,https://pro.massagebook.com/alternatives/mindbody,5 Mindbody Alternatives for Massage Therapy Businesses,vendor-competitor,"cost and complexity; massage-specific positioning","MassageBook holds #1 for Mindbody-switcher queries — repeat from prior weeks"
2026-05-18,"Mindbody alternative massage therapist",Mindbody,2,https://zandahealth.com/us/comparisons/mindbody-alternative/,A Simple Alternative to MindBody | Zanda vs. MindBody,vendor-competitor,"simplicity and clinical features","Zanda Health repeat from prior weeks"
2026-05-18,"Mindbody alternative massage therapist",Mindbody,3,https://www.capterra.com/compare/40229-147523/MINDBODY-vs-MassageBook,Compare Mindbody vs MassageBook 2026 | Capterra,independent-review,"user review comparison","Capterra comparison; high traffic"
2026-05-18,"Mindbody alternative massage therapist",Mindbody,4,https://www.mindbodyonline.com/business/education/comparison/10-best-massage-therapy-software-platforms,The 10 Best Massage Therapy Software Platforms | Mindbody,vendor-own,"Mindbody positions itself among competitors","Mindbody ranks for its own alternatives query — controls the narrative"
2026-05-18,"Mindbody alternative massage therapist",Mindbody,5,https://www.portraitcare.com/post/alternatives-mindbody,13 Best Mindbody Alternatives for Med Spas (2026),independent-review,"med spa focus — broader than massage","Med spa framing; not massage-specific"
2026-05-18,"how to leave Mindbody",Mindbody,1,https://www.exercise.com/grow/how-to-cancel-mindbody/,How to Cancel Mindbody: Tips to Get Out of a Mindbody Contract | Exercise.com,independent-review,"contract exit guidance","NEW this week — Exercise.com ranking well for this high-intent query. No massage-specific content owns this"
2026-05-18,"how to leave Mindbody",Mindbody,2,https://support.mindbodyonline.com/s/article/How-do-I-cancel-my-MINDBODY-subscription,How to cancel your Mindbody subscription | Mindbody Support,vendor-own,"official cancellation process","Mindbody's own support docs rank well"
2026-05-18,"how to leave Mindbody",Mindbody,3,https://sparkmembership.com/how-to-cancel-your-mindbody-software/,Guide On How To Cancel Your Mindbody Software Subscription — Spark Membership,vendor-competitor,"exit guide; positions Spark as alternative","Competitor-published exit guide — same playbook Roomwell should use"
2026-05-18,"Jane app alternative massage therapist",Jane,1,https://www.noterro.com/blog/jane-app-alternatives,Top 10 Jane App Alternatives for Practice Management in 2026,vendor-competitor,"clinical-grade alternative at lower cost","Noterro holds #1 for Jane alternatives — repeat from prior weeks. Now updated with 2026 pricing"
2026-05-18,"Jane app alternative massage therapist",Jane,2,https://www.sprypt.com/blog/jane-app-alternatives,Best Jane App Alternatives & Competitors in 2026,independent-review,"broad comparison; cost and feature depth","Independent round-up"
2026-05-18,"Jane app alternative massage therapist",Jane,3,https://practicebetter.io/blog/3-best-jane-alternatives-for-better-client-management,Top Jane App Alternatives for Practice Management | Practice Better,vendor-competitor,"holistic health provider framing","Practice Better owns this; not massage-specific"
2026-05-18,"Jane app alternative massage therapist",Jane,4,https://pro.massagebook.com/alternatives/janeapp,5 JaneApp Alternatives for Massage Therapy Businesses,vendor-competitor,"massage-specific Jane alternatives","MassageBook's Jane alternatives page; massage-first framing"
2026-05-18,"Jane app alternative massage therapist",Jane,5,https://pabau.com/blog/jane-app-alternatives/,7 Best Jane App Alternatives 2026 | Pabau,vendor-competitor,"clinical/multi-practitioner framing","Pabau targets clinic segment; less relevant to solo LMT"
2026-05-18,"how to leave Jane app",Jane,1,https://jane.app/guide/practitioner-sign-in,Practitioner Sign In - Jane App,vendor-own,"login page — irrelevant but ranks","No meaningful competitor content for this query — underexploited"
2026-05-18,"how to leave Jane app",Jane,2,https://www.noterro.com/compare/noterro-vs-jane,Noterro vs. Jane App: Noterro is The Best Alternative to Jane App,vendor-competitor,"Noterro as the clinical-features-at-lower-cost alternative","Noterro owns vs. Jane comparison too"
2026-05-18,"how to leave Jane app",Jane,3,https://pro.massagebook.com/alternatives/janeapp,5 JaneApp Alternatives for Massage Therapy Businesses,vendor-competitor,"massage-specific switching guidance","MassageBook's Jane page"
2026-05-18,"Acuity Scheduling alternative massage therapist",Acuity,1,https://mblexguide.com/best-apps-and-software-for-massage-therapists/,Best Massage Therapy Software & Apps for Massage Therapists (2026),independent-review,"broad comparison; Acuity included as one option","MBLEx guide; not Acuity-specific — very weak ownership of this query"
2026-05-18,"Acuity Scheduling alternative massage therapist",Acuity,2,https://pabau.com/blog/acuity-scheduling-alternatives/,7 Best Acuity Scheduling Alternatives (2026) | Pabau,vendor-competitor,"clinical/multi-provider framing","Pabau ranks for Acuity alternatives — but targets clinics not solo LMTs"
2026-05-18,"Acuity Scheduling alternative massage therapist",Acuity,3,https://glossgenius.com/blog/apps-for-massage-therapists,Best booking apps for massage therapists (2026) | GlossGenius,vendor-competitor,"salon-adjacent; design-forward framing","GlossGenius targets beauty; massage is a secondary audience"
2026-05-18,"Acuity Scheduling alternative massage therapist",Acuity,4,https://help.acuityscheduling.com/hc/en-us/articles/16676882716301-Using-Acuity-Scheduling-for-massage-therapy,Using Acuity Scheduling for massage therapy — Acuity Help Center,vendor-own,"Acuity's own feature docs rank for competitor queries","Acuity defending with own documentation"
2026-05-18,"ClinicSense alternative massage therapist",ClinicSense,1,https://pro.massagebook.com/alternatives/clinicsense,5 ClinicSense Alternatives for Massage Therapy Businesses,vendor-competitor,"massage-specific; mobile-unfriendly angle","MassageBook holds #1 for ClinicSense alternatives — same playbook as other platforms"
2026-05-18,"ClinicSense alternative massage therapist",ClinicSense,2,https://www.noterro.com/blog/best-clinicsense-alternatives,ClinicSense Alternatives: Top 10 Picks for 2026,vendor-competitor,"clinical documentation and AI features","Noterro also owns a ClinicSense alternatives page — NEW this week"
2026-05-18,"ClinicSense alternative massage therapist",ClinicSense,3,https://www.capterra.com/p/178722/ClinicSense/,ClinicSense Software Pricing Alternatives & More 2026 | Capterra,independent-review,"user review and alternatives listings","Capterra directory"
2026-05-18,"MassageBook alternative massage therapist",MassageBook,1,https://www.g2.com/products/massagebook/competitors/alternatives,Top 10 MassageBook Alternatives & Competitors in 2026 | G2,independent-review,"broad G2 competitors listing","G2 ranks #1 for MassageBook alternatives — no single vendor dominates this query"
2026-05-18,"MassageBook alternative massage therapist",MassageBook,2,https://www.capterra.com/p/147523/MassageBook/,MassageBook Software Pricing Alternatives & More 2026 | Capterra,independent-review,"Capterra directory listing","Capterra directory; shows alternatives sidebar"
2026-05-18,"MassageBook alternative massage therapist",MassageBook,3,https://www.getapp.com/retail-consumer-services-software/a/massagebook/,MassageBook 2026 Pricing Features Reviews & Alternatives | GetApp,independent-review,"review aggregator","GetApp directory"
2026-05-18,"Noterro alternative massage therapist",Noterro,1,https://www.softwareadvice.com/medical/soap-vault-profile/alternatives/,Best 15 Noterro Alternatives in 2026 — Software Advice,independent-review,"broad alternatives listing","Software Advice; no single vendor owns this query — opportunity"
2026-05-18,"Noterro alternative massage therapist",Noterro,2,https://www.noterro.com/compare/noterro-vs-massagebook,Noterro vs. MassageBook: Noterro is The Best Alternative to MassageBook,vendor-own,"Noterro positions itself as better than MassageBook","Noterro's own comparison page; ranks for Noterro alternatives queries"
2026-05-18,"Noterro alternative massage therapist",Noterro,3,https://www.sprypt.com/blog/best-massage-therapy-software,Best Massage Therapy Software 2026: Top 11 Picks Compared,independent-review,"broad round-up; Noterro is one option","Independent; not Noterro-specific"
2026-05-18,"Fresha alternative massage therapist",Fresha,1,https://glossgenius.com/blog/fresha-alternatives,9 Fresha alternatives with pricing for salons and spas | GlossGenius,vendor-competitor,"salon/spa framing; design-forward","GlossGenius owns #1 for Fresha alternatives"
2026-05-18,"Fresha alternative massage therapist",Fresha,2,https://www.salonbookingsystem.com/blog/case-study/fresha-alternatives/,7 Fresha Alternatives for Salons and Spas In 2026,independent-review,"salon focus; Fresha commission model critique","Independent; not massage-specific"
2026-05-18,"Fresha alternative massage therapist",Fresha,3,https://www.sprypt.com/blog/best-massage-therapy-software,Best Massage Therapy Software 2026: Top 11 Picks Compared,independent-review,"massage-adjacent; Fresha listed as free option","Closest to massage-specific Fresha alternatives content available"
2026-05-18,"Square Appointments alternative massage therapist","Square Appointments",1,https://pro.massagebook.com/alternatives/square-appointments,5 Square Appointments Alternatives for Massage Practices,vendor-competitor,"massage-specific; SOAP notes as main differentiator","MassageBook holds #1 for Square Appointments alternatives in massage context"
2026-05-18,"Square Appointments alternative massage therapist","Square Appointments",2,https://lunacal.ai/compare/square-appointments-alternative,7 Best Square Appointment Alternatives in 2026,independent-review,"broad scheduling-tool comparison","Generic scheduling comparison; not massage-specific"
2026-05-18,"Square Appointments alternative massage therapist","Square Appointments",3,https://www.capterra.com/p/170263/Square-Appointments/alternatives/,Best Square Appointments Alternatives 2026 | Capterra,independent-review,"Capterra alternatives sidebar","Capterra directory listing"
